Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
asnT	b1977	2044549	2044624	tRNA-Asn(GUU)	ECK1973	asnT // b1977 // ECK1973	EG30020		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	asnT
dinB	b0231	250898	251953	DNA polymerase IV	ECK0232	dinB // dinP // b0231 // ECK0232	G6115		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA synthesis involved in DNA repair // DNA-templated DNA replication // DNA repair // DNA damage response // DNA replication // error-free translesion synthesis // error-prone translesion synthesis // SOS response	cytosol // cytoplasm	3'-5'-DNA exonuclease activity // nucleotidyltransferase activity // transferase activity // protein binding // damaged DNA binding // metal ion binding // DNA binding // magnesium ion binding // DNA-directed DNA polymerase activity	dinB-yafNOP // dinB-yafNOP
ysgD	b4799	4001218	4001274	protein YsgD	ECK4656	ysgD // b4799 // ECK4656	G0-17045		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				
ypdF	b2385	2505547	2506632	aminopeptidase YpdF	ECK2381	ypdF // b2385 // ECK2381	G7248		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	cytosol	metalloexopeptidase activity // protein binding // hydrolase activity // peptidase activity // aminopeptidase activity // transition metal ion binding // metalloaminopeptidase activity // protein homodimerization activity	fryBC-ypdFE-fryA
tolQ	b0737	775153	775845	Tol-Pal system protein TolQ	ECK0726	tolQ // fii // tolP // b0737 // ECK0726	EG11010		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of membrane invagination // cell cycle // protein import // cell septum assembly // cell division // bacteriocin transport	membrane // cell envelope // cell division site // plasma membrane	protein binding	ybgC-tolQRA
yidH	b3676	3855960	3856307	DUF202 domain-containing inner membrane protein YidH	ECK3667	yidH // b3676 // ECK3667	EG11696		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to oxidative stress	membrane // plasma membrane		yidHGF
yecF	b1915	1995818	1996042	DUF2594 domain-containing protein YecF	ECK1914	yecF // b1915 // ECK1914	EG12861		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yecF
guaC	b0104	113444	114487	GMP reductase	ECK0104	guaC // b0104 // ECK0104	EG10422		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	IMP salvage // purine nucleotide metabolic process // nucleotide metabolic process // purine ribonucleotide interconversion	GMP reductase complex // cytosol // cytoplasm	oxidoreductase activity // catalytic activity // metal ion binding // protein binding // identical protein binding // GMP reductase activity	guaC
degS	b3235	3382200	3383267	serine endoprotease	ECK3224	degS // hhoB // htrH // b3235 // ECK3224	EG11652		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	protein quality control for misfolded or incompletely synthesized proteins // proteolysis // cellular response to misfolded protein	periplasmic space // membrane // plasma membrane // outer membrane-bounded periplasmic space	endopeptidase activity // identical protein binding // hydrolase activity // serine-type peptidase activity // peptidase activity // protein binding // serine-type endopeptidase activity	degS // degQS
fmt	b3288	3434214	3435161	10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase	ECK3274	fmt // ftm // yhdD // b3288 // ECK3274	EG11268		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	translational initiation // conversion of methionyl-tRNA to N-formyl-methionyl-tRNA // biosynthetic process // translation // charged-tRNA amino acid modification	cytosol	transferase activity // catalytic activity // methionyl-tRNA formyltransferase activity	def-fmt
sbmC	b2009	2080789	2081262	DNA gyrase inhibitor	ECK2003	sbmC // dgi // gyrI // yeeB // b2009 // ECK2003	EG11892		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA damage response // negative regulation of DNA-templated DNA replication	cytoplasm // cytosol	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity // enzyme binding	sbmC // sbmC
pssL	b4782	2722702	2722743	protein PssL	ECK4639	pssL // b4782 // ECK4639	G0-17028		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				pssLA
pepD	b0237	254259	255716	peptidase D	ECK0238	pepD // pepH // b0237 // ECK0238	EG10695		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptide catabolic process // proteolysis	cytosol	protein binding // alanylglutamate dipeptidase activity // metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // protein homodimerization activity // metallodipeptidase activity // zinc ion binding // dipeptidase activity	pepD // pepD // pepD
yfcC	b2298	2417081	2418601	putative transporter YfcC	ECK2292	yfcC // b2298 // ECK2292	G7190		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport	membrane // plasma membrane	antiporter activity	yfcC
yqeJ	b2848	2989304	2989786	protein YqeJ	ECK2846	yqeJ // b2848 // ECK2846	G7468		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		yqeIJ
ycfH	b1100	1156777	1157574	putative metal-dependent hydrolase YcfH	ECK1086	ycfH // b1100 // ECK1086	EG12303		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA metabolic process	cytosol	protein binding // hydrolase activity, acting on ester bonds // DNA nuclease activity // metal ion binding // hydrolase activity	pabC-mltG-tmk-holB-ycfH
apaH	b0049	50380	51222	diadenosine tetraphosphatase	ECK0050	apaH // cfcB // b0049 // ECK0050	EG10048		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	nucleobase-containing small molecule interconversion // RNA decapping // response to X-ray	cytoplasm // cytosol	phosphatase activity // hydrolase activity // bis(5'-nucleosyl)-tetraphosphatase activity // bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	apaGH // pdxA-rsmA-apaGH // rsmA-apaGH // surA-pdxA-rsmA-apaGH
mpaA	b1326	1389870	1390598	murein tripeptide amidase A	ECK1322	mpaA // ycjI // b1326 // ECK1322	G6662		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // cell wall macromolecule catabolic process // proteolysis // peptidoglycan catabolic process // glycopeptide catabolic process	cytosol // cytoplasm	metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // carboxypeptidase activity // amidase activity // metallocarboxypeptidase activity // murein tripeptide carboxypeptidase activity // protein homodimerization activity // zinc ion binding	ycjY-ymjDC-mpaA // mpaA // ymjC-mpaA
cysT	b1910	1991914	1991987	tRNA-Cys(GCA)	ECK1909	cysT // b1910 // ECK1909	G7991		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	glyW-cysT-leuZ
dinG	b0799	833070	835220	ATP-dependent DNA helicase DinG	ECK0788	dinG // rarB // b0799 // ECK0788	EG11357		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	chromosome organization // nucleobase-containing compound metabolic process // DNA damage response // DNA recombination // SOS response // DNA duplex unwinding // DNA repair	cytosol	ATP hydrolysis activity // hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides // helicase activity // protein binding // hydrolase activity // iron-sulfur cluster binding // metal ion binding // nucleic acid binding // ATP binding // DNA binding // nucleotide binding // DNA/RNA helicase activity // 4 iron, 4 sulfur cluster binding // DNA helicase activity	dinG-ybiB
ysdD	b4757	3884026	3884106	protein YsdD	ECK4614	ysdD // b4757 // ECK4614	G0-16751		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				
prlC	b3498	3643140	3645182	oligopeptidase A	ECK3483	prlC // opdA // b3498 // ECK3483	EG11441		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptide metabolic process // signal peptide processing // proteolysis // DNA replication	cytoplasm // cytosol	hydrolase activity // metalloendopeptidase activity // metal ion binding // metallopeptidase activity // peptidase activity	prlC-yhiQ
mntP	b1821	1905688	1906254	Mn2+ exporter	ECK1819	mntP // yebN // b1821 // ECK1819	G6999		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	manganese ion transmembrane transport // manganese ion export across plasma membrane // intracellular manganese ion homeostasis // monoatomic ion transport	membrane // plasma membrane	manganese ion transmembrane transporter activity	mntP
yoaF	b1793	1877278	1877532	DUF333 domain-containing lipoprotein YoaF	ECK1791	yoaF // b1793 // ECK1791	G6979		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yoaF
lapC	b2188	2284376	2286136	lipopolysaccharide signal transducer LapC	ECK2182	lapC // yejN // pbgA // yejM // b2188 // ECK2182	EG12049		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane	lipopolysaccharide binding // protein binding	yejLM
rihB	b2162	2254245	2255186	pyrimidine-specific ribonucleoside hydrolase RihB	ECK2155	rihB // yeiK // b2162 // ECK2155	EG12030		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	nucleobase-containing compound metabolic process // pyrimidine nucleobase metabolic process // purine nucleoside catabolic process // metabolic process // protein homotetramerization // pyrimidine ribonucleoside catabolic process	protein-containing complex // cytosol	purine nucleosidase activity // ribosylpyrimidine nucleosidase activity // metal ion binding // hydrolase activity, hydrolyzing N-glycosyl compounds // hydrolase activity, acting on glycosyl bonds // hydrolase activity // identical protein binding // calcium ion binding // uridine nucleosidase activity	rihB
lon	b0439	458888	461242	Lon protease	ECK0433	lon // capR // deg // dir // lopA // muc // b0439 // ECK0433	EG10542		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cellular response to heat // protein catabolic process // response to heat // response to X-ray // protein quality control for misfolded or incompletely synthesized proteins // proteolysis	cytoplasm // cytosol	ATP hydrolysis activity // protein binding // hydrolase activity // serine-type peptidase activity // peptidase activity // nucleotide binding // sequence-specific DNA binding // serine-type endopeptidase activity // ATP-dependent peptidase activity // DNA binding // identical protein binding // ATP binding	lon // clpX-lon // lon
valU	b2401	2520931	2521006	tRNA-Val(UAC)	ECK2395	valU // valUalpha // b2401 // ECK2395	EG30110		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	valUXY-lysV
ruvA	b1861	1945365	1945976	Holliday junction branch migration complex subunit RuvA	ECK1862	ruvA // b1861 // ECK1862	RUVA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA duplex unwinding // DNA damage response // DNA recombination // DNA repair // response to radiation // recombinational repair // SOS response	cytoplasm // cytosol // Holliday junction resolvase complex // Holliday junction helicase complex	protein binding // DNA helicase activity // ATP binding // DNA binding // identical protein binding // four-way junction DNA binding // four-way junction helicase activity	ruvAB // ruvAB
ymgL	b4739	1212540	1212650	protein YmgL	ECK4596	ymgL // b4739 // ECK4596	G0-16734		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane		
ycaL	b0909	960264	961028	periplasmic protease YcaL	ECK0900	ycaL // b0909 // ECK0900	G6470		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis // proteolysis involved in protein catabolic process	membrane // plasma membrane // outer membrane-bounded periplasmic space // extracellular region	protein binding // metalloendopeptidase activity // metal ion binding // hydrolase activity // peptidase activity // metallopeptidase activity	ycaL
rsxA	b1627	1705767	1706348	SoxR [2Fe-2S] reducing system protein RsxA	ECK1623	rsxA // ydgL // b1627 // ECK1623	G6871		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of DNA-binding transcription factor activity // electron transport chain	plasma membrane protein complex // oxidoreductase complex // membrane // plasma membrane	oxidoreductase activity, acting on NAD(P)H	rsxABCDGE-nth // ydgK-rsxABCDGE-nth
yciU	b1248	1306821	1307150	DUF440 domain-containing protein YciU	ECK1242	yciU // b1248 // ECK1242	G6633		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol	protein binding	clsA-yciU
yjfC	b4186	4413028	4414191	peptide&mdash;spermidine ligase YjfC	ECK4182	yjfC // b4186 // ECK4182	EG11812		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol	metal ion binding // ligase activity // ATP binding // nucleotide binding	yjfKLMC
gpt	b0238	255977	256435	xanthine-guanine phsophoribosyltransferase	ECK0239	gpt // glyD // gpp // gxu // b0238 // ECK0239	EG10414		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	purine ribonucleoside salvage // protein homotetramerization // GMP salvage // IMP salvage // XMP salvage	membrane // plasma membrane // protein-containing complex // cytosol	guanine phosphoribosyltransferase activity // glycosyltransferase activity // transferase activity // metal ion binding // guanosine tetraphosphate binding // magnesium ion binding // identical protein binding // xanthine phosphoribosyltransferase activity // hypoxanthine phosphoribosyltransferase activity	gpt
aat	b0885	926728	927432	leucyl/phenylalanyl-tRNA&mdash;protein transferase	ECK0876	aat // ycaA // b0885 // ECK0876	EG11112		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	protein catabolic process	cytoplasm // cytosol	aminoacyltransferase activity // acyltransferase activity // transferase activity // leucyl-tRNA--protein transferase activity	aat
proM	b3799	3982735	3982811	tRNA-Pro(UGG)	ECK3792	proM // proU // b3799 // ECK3792	EG30068		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	argX-hisR-leuT-proM
uvrA	b4058	4271049	4273871	UvrABC excision nuclease subunit A	ECK4050	uvrA // dar // dinE // b4058 // ECK4050	EG11061		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	nucleotide-excision repair, DNA damage recognition // nucleotide-excision repair, preincision complex assembly // DNA damage response // nucleotide-excision repair // SOS response // response to radiation // DNA repair	DNA repair complex // excinuclease repair complex // cytoplasm // cytosol	catalytic activity // excinuclease ABC activity // zinc ion binding // identical protein binding // protein binding // nucleotide binding // metal ion binding // ATP binding // nuclease activity // ATP hydrolysis activity // DNA binding	uvrA
ymiB	b4672	1346796	1346900	putative protein YmiB	ECK4487	ymiB // b4672 // ECK4487	G0-16673		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane		ymiB
hflC	b4175	4403300	4404304	regulator of FtsH protease	ECK4171	hflC // hflA // b4175 // ECK4171	EG10435		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to heat	plasma membrane protein complex // membrane // plasma membrane // membrane protein complex // outer membrane-bounded periplasmic space	protein binding	tsaE-amiB-mutL-miaA-hfq-hflXKC // hfq-hflXKC // hfq-hflXKC // miaA-hfq-hflXKC // miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC
ydcO	b1433	1504905	1506080	putative transport protein YdcO	ECK1427	ydcO // b1433 // ECK1427	G6744		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	benzoate transport	membrane // plasma membrane	benzoate transmembrane transporter activity	ydcO
yahO	b0329	346484	346759	DUF1471 domain-containing protein YahO	ECK0327	yahO // b0329 // ECK0327	G6194		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to radiation	periplasmic space		yahO
yhhH	b3483	3623399	3623782	PF15631 family protein YhhH	ECK3467	yhhH // b3483 // ECK3467	EG11520		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane		yhhH
add	b1623	1702233	1703234	adenosine deaminase	ECK1618	add // b1623 // ECK1618	EG10030		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	negative regulation of adenosine receptor signaling pathway // inosine biosynthetic process // hypoxanthine biosynthetic process // hypoxanthine salvage // purine nucleotide salvage // purine nucleotide interconversion // adenosine catabolic process // purine ribonucleoside monophosphate biosynthetic process // nucleotide metabolic process // DNA damage response	external side of plasma membrane // cytosol	2'-deoxyadenosine deaminase activity // zinc ion binding // deaminase activity // hydrolase activity // metal ion binding // adenosine deaminase activity	add
iadA	b4328	4558354	4559526	isoaspartyl dipeptidase	ECK4319	iadA // yjiF // b4328 // ECK4319	G7925		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	cytoplasm // cytosol	hydrolase activity // metal ion binding // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // metallopeptidase activity // peptidase activity // identical protein binding // zinc ion binding // beta-aspartyl-peptidase activity	yjiHG-iadA
leuV	b4368	4606079	4606165	tRNA-Leu(CAG)	ECK4359	leuV // leuValpha // b4368 // ECK4359	EG30051		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	leuV // leuQPV
recN	b2616	2751795	2753456	DNA repair protein RecN	ECK2612	recN // radB // b2616 // ECK2612	EG10831		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA recombination // DNA repair // response to X-ray // response to UV // response to ionizing radiation // recombinational repair // recombinational interstrand cross-link repair // response to radiation // double-strand break repair via homologous recombination // double-strand break repair // DNA damage response // SOS response	cytoplasm // bacterial nucleoid // cytosol	protein binding // nucleotide binding // ATP binding	recN
yojO	b4604	2303606	2303770	uncharacterized protein YojO	ECK4413	yojO // b4604 // ECK4413	G0-10595		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane		
sapB	b1293	1354505	1355470	putrescine ABC exporter membrane subunit SapB	ECK1288	sapB // b1293 // ECK1288	G2001		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptide transport // dipeptide transmembrane transport // transmembrane transport // putrescine transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	dipeptide transmembrane transporter activity // putrescine transmembrane transporter activity	sapABCDF
gfcA	b0987	1049439	1049744	threonine-rich inner membrane protein GfcA	ECK0978	gfcA // ymcD // b0987 // ECK0978	G6508		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		gfcA
ychJ	b1233	1288674	1289132	NTF2-like domain-containing protein YchJ	ECK1228	ychJ // b1233 // ECK1228	EG12119		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol	protein binding	ychJ-purU // ychJ
yceD	b1088	1146794	1147315	DUF177 domain-containing protein YceD	ECK1074	yceD // b1088 // ECK1074	EG11119		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	ribosome biogenesis	cytosol		yceD-rpmF // yceD-rpmF
hscB	b2527	2658952	2659467	[Fe-S] cluster biosynthesis co-chaperone HscB	ECK2524	hscB // yfhE // b2527 // ECK2524	EG12131		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	[2Fe-2S] cluster assembly // protein folding // protein complex oligomerization // protein maturation by iron-sulfur cluster transfer	iron-sulfur cluster transfer complex // cytosol	ATPase activator activity // protein-folding chaperone binding // protein binding	hscBA-fdx-iscX
sohB	b1272	1329332	1330381	S49 peptidase family protein	ECK1266	sohB // b1272 // ECK1266	EG10956		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	membrane // plasma membrane	serine-type endopeptidase activity // serine-type peptidase activity // hydrolase activity // peptidase activity	sohB // sohB // sohB
gltW	b2590	2729369	2729444	tRNA-Glu(UUC)	ECK2588	gltW // b2590 // ECK2588	EG30035		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG
rpnC	b0132	146968	147870	recombination-promoting nuclease RpnC	ECK0131	rpnC // yadD // b0132 // ECK0131	EG11748		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA recombination	cytosol	double-stranded DNA endonuclease activity // hydrolase activity // endonuclease activity // nuclease activity	yadD
yjiS	b4341	4571751	4571915	DUF1127 domain-containing protein YjiS	ECK4332	yjiS // b4341 // ECK4332	G7937		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yjiS
clpX	b0438	457426	458700	ATP-dependent Clp protease ATP-binding subunit ClpX	ECK0432	clpX // lopC // b0438 // ECK0432	EG10159		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis involved in protein catabolic process // protein denaturation // protein unfolding // cell division // protein folding	endopeptidase Clp complex // HslUV protease complex // cytosol	ATP-dependent protein folding chaperone // ATP hydrolysis activity // protein binding // disordered domain specific binding // protease binding // identical protein binding // ATP-dependent peptidase activity // nucleotide binding // unfolded protein binding // protein dimerization activity // zinc ion binding // metal ion binding // ATP binding	clpPX // clpX-lon // clpPX // clpPX
ybhM	b0787	820793	821506	Bax1-I family protein YbhM	ECK0776	ybhM // b0787 // ECK0776	G6404		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		ybhM
yedE	b1929	2008277	2009482	putative selenium transporter YedE	ECK1928	yedE // b1929 // ECK1928	EG11660		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane	protein binding	yedEF
yzgL	b3427	3563724	3564005	putative uncharacterized protein YzgL	ECK3413	yzgL // b3427 // ECK3413	G7752		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane		yzgL
dps	b0812	848408	848911	DNA protection during starvation protein	ECK0801	dps // pexB // vtm // b0812 // ECK0801	EG11415		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	negative regulation of DNA-templated DNA replication initiation // chromosome condensation // intracellular iron ion homeostasis // response to stress // response to starvation	DnaA-Dps complex // membrane // cytoplasm // nucleoid	protein binding // oxidoreductase activity, acting on metal ions // metal ion binding // oxidoreductase activity // identical protein binding // ferric iron binding // DNA binding	dps // dps
mltA	b2813	2946081	2947178	membrane-bound lytic murein transglycosylase A	ECK2809	mltA // ygdM // mlt // b2813 // ECK2809	G7457		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // peptidoglycan turnover // peptidoglycan metabolic process // peptidoglycan catabolic process	membrane // outer membrane // outer membrane-bounded periplasmic space // cell outer membrane	hydrolase activity, hydrolyzing O-glycosyl compounds // lyase activity // protein binding // lytic transglycosylase activity	mltA
argX	b3796	3982375	3982451	tRNA-Arg(CCG)	ECK3789	argX // b3796 // ECK3789	EG30017		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	argX-hisR-leuT-proM
rpnB	b2305	2422649	2423539	recombination-promoting nuclease RpnB	ECK2299	rpnB // yfcI // b2305 // ECK2299	G7197		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA recombination	cytosol	double-stranded DNA endonuclease activity // hydrolase activity // endonuclease activity // nuclease activity	rpnB
ygjR	b3087	3237311	3238297	putative oxidoreductase YgjR	ECK3077	ygjR // b3087 // ECK3077	G7606		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane	nucleotide binding // oxidoreductase activity	ygjR
pepB	b2523	2655075	2656358	aminopeptidase B	ECK2520	pepB // yfhI // b2523 // ECK2520	EG12310		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptide catabolic process // protein metabolic process // proteolysis	cytoplasm // cytosol	metalloaminopeptidase activity // protein binding // manganese ion binding // metal ion binding // hydrolase activity // peptidase activity // identical protein binding // aminopeptidase activity	pepB
glpG	b3424	3560622	3561452	rhomboid protease GlpG	ECK3410	glpG // b3424 // ECK3410	EG10397		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	membrane // plasma membrane	identical protein binding // hydrolase activity // peptidase activity // serine-type peptidase activity // endopeptidase activity // serine-type endopeptidase activity	glpGR // glpEGR
yaaI	b0013	11382	11786	DUF2541 domain-containing protein YaaI	ECK0013	yaaI // b0013 // ECK0013	G8202		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yaaI
